,model_name,variance_k,normality_k,boruta_flag,vif_k,score,chosen_columns
60,model4_xg,0.0,25.0,1.0,5.0,0.5985547972701726, 10  64 204 472 481
61,model5_xg,0.0,25.0,1.0,5.0,0.6193496587715777, 10  64 204 472 481
62,model1_lr,0.0,25.0,1.0,5.0,0.5308711360899236, 10  64 204 472 481
63,model2_lr,0.0,25.0,1.0,5.0,0.5308711360899236, 10  64 204 472 481
64,model3_lr,0.0,25.0,1.0,5.0,0.5308711360899236, 10  64 204 472 481
65,model1_svc,0.0,25.0,1.0,5.0,0.5289843436370936, 10  64 204 472 481
66,model2_svc,0.0,25.0,1.0,5.0,0.5289843436370936, 10  64 204 472 481
67,model3_svc,0.0,25.0,1.0,5.0,0.5289843436370936, 10  64 204 472 481
68,model1_ensemble_rfxglr,0.0,25.0,1.0,5.0,0.6181453231633882, 10  64 204 472 481
69,model2_ensemble_rflrsvc,0.0,25.0,1.0,5.0,0.5686069851465274, 10  64 204 472 481
70,model3_ensemble_xglrsvc,0.0,25.0,1.0,5.0,0.588398233641108, 10  64 204 472 481
71,model4_ensemble_rfxgsvc,0.0,25.0,1.0,5.0,0.6120032115616219, 10  64 204 472 481
72,model1_rf,0.0,35.0,1.0,5.0,0.6341629867523083, 10  64 128 204 472
73,model2_rf,0.0,35.0,1.0,5.0,0.6460056202328381, 10  64 128 204 472
74,model3_rf,0.0,35.0,1.0,5.0,0.6476515455640305, 10  64 128 204 472
75,model1_xg,0.0,35.0,1.0,5.0,0.6642312324367723, 10  64 128 204 472
76,model2_xg,0.0,35.0,1.0,5.0,0.7030108390204737, 10  64 128 204 472
77,model3_xg,0.0,35.0,1.0,5.0,0.7098354074668807, 10  64 128 204 472
78,model4_xg,0.0,35.0,1.0,5.0,0.6655961461260538, 10  64 128 204 472
79,model5_xg,0.0,35.0,1.0,5.0,0.6810116419108792, 10  64 128 204 472
80,model1_lr,0.0,35.0,1.0,5.0,0.5639100762745886, 10  64 128 204 472
81,model2_lr,0.0,35.0,1.0,5.0,0.5639100762745886, 10  64 128 204 472
82,model3_lr,0.0,35.0,1.0,5.0,0.5639100762745886, 10  64 128 204 472
83,model1_svc,0.0,35.0,1.0,5.0,0.567442794058611, 10  64 128 204 472
84,model2_svc,0.0,35.0,1.0,5.0,0.567442794058611, 10  64 128 204 472
85,model3_svc,0.0,35.0,1.0,5.0,0.567442794058611, 10  64 128 204 472
86,model1_ensemble_rfxglr,0.0,35.0,1.0,5.0,0.6772380570052188, 10  64 128 204 472
87,model2_ensemble_rflrsvc,0.0,35.0,1.0,5.0,0.59313528703332, 10  64 128 204 472
88,model3_ensemble_xglrsvc,0.0,35.0,1.0,5.0,0.6810116419108792, 10  64 128 204 472
89,model4_ensemble_rfxgsvc,0.0,35.0,1.0,5.0,0.6774789241268566, 10  64 128 204 472
90,model1_rf,0.0,50.0,1.0,5.0,0.5771176234443998, 10  64 204 338 481
91,model2_rf,0.0,50.0,1.0,5.0,0.6216780409474106, 10  64 204 338 481
92,model3_rf,0.0,50.0,1.0,5.0,0.6252107587314331, 10  64 204 338 481
93,model1_xg,0.0,50.0,1.0,5.0,0.6162585307105579, 10  64 204 338 481
94,model2_xg,0.0,50.0,1.0,5.0,0.6155760738659173, 10  64 204 338 481
95,model3_xg,0.0,50.0,1.0,5.0,0.5874749096748293, 10  64 204 338 481
96,model4_xg,0.0,50.0,1.0,5.0,0.5936170212765957, 10  64 204 338 481
