,lr,n_est,max_depth,m,score,case,standardize
82,0.5,40.0,7.0,50.0,0.9364324692062127,case1,0.0
83,0.5,40.0,7.0,50.0,0.9338989282191668,case1,1.0
84,0.5,50.0,7.0,50.0,0.9419217582858739,case1,0.0
85,0.5,50.0,7.0,50.0,0.9411547278513588,case1,1.0
86,0.5,60.0,7.0,50.0,0.9388307847056232,case1,0.0
87,0.5,60.0,7.0,50.0,0.9400342327088502,case1,1.0
88,0.5,70.0,7.0,50.0,0.9381922436861447,case1,0.0
89,0.5,70.0,7.0,50.0,0.9401284422846796,case1,1.0
90,0.1,30.0,5.0,60.0,0.9246177502848285,case2,0.0
91,0.1,30.0,5.0,60.0,0.9241605049413163,case2,1.0
92,0.1,40.0,5.0,60.0,0.9303782209546375,case2,0.0
93,0.1,40.0,5.0,60.0,0.9286959462656194,case2,1.0
94,0.1,50.0,5.0,60.0,0.9364054614473286,case2,0.0
95,0.1,50.0,5.0,60.0,0.9364168413623839,case2,1.0
96,0.1,60.0,5.0,60.0,0.9423956278904045,case2,0.0
97,0.1,60.0,5.0,60.0,0.9430630406850685,case2,1.0
98,0.1,70.0,5.0,60.0,0.9431691520726776,case2,0.0
99,0.1,70.0,5.0,60.0,0.9425433046410328,case2,1.0
100,0.3,30.0,5.0,60.0,0.9423999455621775,case2,0.0
101,0.3,30.0,5.0,60.0,0.939886120325577,case2,1.0
102,0.3,40.0,5.0,60.0,0.9467151593017809,case2,0.0
103,0.3,40.0,5.0,60.0,0.9468601079358303,case2,1.0
104,0.3,50.0,5.0,60.0,0.9465446700759801,case2,0.0
105,0.3,50.0,5.0,60.0,0.9455440305934995,case2,1.0
106,0.3,60.0,5.0,60.0,0.9474651717290767,case2,0.0
107,0.3,60.0,5.0,60.0,0.9473745818624264,case2,1.0
108,0.3,70.0,5.0,60.0,0.947205035073295,case2,0.0
109,0.3,70.0,5.0,60.0,0.9481062216744853,case2,1.0
110,0.5,30.0,5.0,60.0,0.9395028036973894,case2,0.0
111,0.5,30.0,5.0,60.0,0.9387750868456036,case2,1.0
112,0.5,40.0,5.0,60.0,0.9412282826582773,case2,0.0
113,0.5,40.0,5.0,60.0,0.9410542252522696,case2,1.0
114,0.5,50.0,5.0,60.0,0.9444923600434312,case2,0.0
115,0.5,50.0,5.0,60.0,0.9438243218027018,case2,1.0
116,0.5,60.0,5.0,60.0,0.9472645179098407,case2,0.0
117,0.5,60.0,5.0,60.0,0.9480134318535807,case2,1.0
118,0.5,70.0,5.0,60.0,0.9467031572431497,case2,0.0
119,0.5,70.0,5.0,60.0,0.9476773446648824,case2,1.0
120,0.1,30.0,6.0,60.0,0.9261687898049382,case2,0.0
121,0.1,30.0,6.0,60.0,0.9271627297130127,case2,1.0
122,0.1,40.0,6.0,60.0,0.9316927953719192,case2,0.0
123,0.1,40.0,6.0,60.0,0.9304328165821619,case2,1.0
124,0.1,50.0,6.0,60.0,0.9361756565918313,case2,0.0
125,0.1,50.0,6.0,60.0,0.9357432304547464,case2,1.0
126,0.1,60.0,6.0,60.0,0.9390158749101122,case2,0.0
127,0.1,60.0,6.0,60.0,0.9399576433985288,case2,1.0
128,0.1,70.0,6.0,60.0,0.9404166019183388,case2,0.0
129,0.1,70.0,6.0,60.0,0.9406720133702683,case2,1.0
130,0.3,30.0,6.0,60.0,0.9416981810239339,case2,0.0
131,0.3,30.0,6.0,60.0,0.9427570697061576,case2,1.0
132,0.3,40.0,6.0,60.0,0.944578814897087,case2,0.0
133,0.3,40.0,6.0,60.0,0.9436127603923286,case2,1.0
134,0.3,50.0,6.0,60.0,0.9440479441914291,case2,0.0
135,0.3,50.0,6.0,60.0,0.9449172042267117,case2,1.0
136,0.3,60.0,6.0,60.0,0.9497367282358204,case2,0.0
137,0.3,60.0,6.0,60.0,0.949154130598707,case2,1.0
138,0.3,70.0,6.0,60.0,0.9460128008941006,case2,0.0
139,0.3,70.0,6.0,60.0,0.9445926467758021,case2,1.0
140,0.5,30.0,6.0,60.0,0.9433662813021714,case2,0.0
141,0.5,30.0,6.0,60.0,0.9436105758672261,case2,1.0
142,0.5,40.0,6.0,60.0,0.9431821837578654,case2,0.0
143,0.5,40.0,6.0,60.0,0.9400349497951612,case2,1.0
144,0.5,50.0,6.0,60.0,0.9416282488649695,case2,0.0
145,0.5,50.0,6.0,60.0,0.9419474203752827,case2,1.0
146,0.5,60.0,6.0,60.0,0.9429642890047228,case2,0.0
147,0.5,60.0,6.0,60.0,0.944254008689079,case2,1.0
148,0.5,70.0,6.0,60.0,0.942401501908517,case2,0.0
149,0.5,70.0,6.0,60.0,0.9437124184838843,case2,1.0
150,0.1,30.0,7.0,60.0,0.9260020945154794,case2,0.0
151,0.1,30.0,7.0,60.0,0.926826315272862,case2,1.0
152,0.1,40.0,7.0,60.0,0.9303986544548841,case2,0.0
153,0.1,40.0,7.0,60.0,0.9310011254956425,case2,1.0
154,0.1,50.0,7.0,60.0,0.9338215454685797,case2,0.0
155,0.1,50.0,7.0,60.0,0.9353957965775679,case2,1.0
156,0.1,60.0,7.0,60.0,0.9356036361124345,case2,0.0
157,0.1,60.0,7.0,60.0,0.9360016177523995,case2,1.0
158,0.1,70.0,7.0,60.0,0.9373915076997742,case2,0.0
159,0.1,70.0,7.0,60.0,0.9362171996149515,case2,1.0
160,0.3,30.0,7.0,60.0,0.9401668748687413,case2,0.0
161,0.3,30.0,7.0,60.0,0.9410708550293678,case2,1.0
162,0.3,40.0,7.0,60.0,0.9428630310677057,case2,0.0
163,0.3,40.0,7.0,60.0,0.9460266513859172,case2,1.0
